Class,MethodName,Complexity,Statements,MaximumDepth,Calls
,make_detector_geometry(),1,1,1,5
,make_destination(),1,3,1,7
,make_configuration_filename(),3,11,3,14
,main(),6,37,3,34
,main(),5,22,3,18
,main(),6,25,3,19
,main(),2,10,3,15
,main(),5,28,3,32
,main(),7,43,3,33
,main(),5,21,3,18
,main(),5,14,4,8
,main(),4,12,4,9
,main(),4,11,3,9
,main(),4,13,3,8
,main(),1,5,1,9
,main(),3,15,3,19
,main(),8,86,5,120
,main(),1,13,2,15
,main(),2,25,2,45
,main(),10,72,3,94
,main(),1,20,3,29
,main(),2,15,3,17
,main(),1,24,2,31
,main(),7,51,3,54
,main(),1,13,2,17
,main(),16,61,6,70
,main(),1,5,1,8
,main(),9,55,5,71
,main(),1,9,2,11
,main(),9,78,3,107
,main(),9,80,3,105
,main(),22,98,5,128
,main(),11,56,4,71
EM,logToSyslog(),1,1,2,0
EM,logToSyslog(),1,1,2,0
TSV,logLevel(),1,1,2,0
TSV,logLevel(),1,1,2,0
TCPU,logLevel(),1,1,2,0
TCPU,logLevel(),1,1,2,0
HM,logLevel(),1,1,2,0
HM,logLevel(),1,1,2,0
EM,logLevel(),1,1,2,0
EM,logLevel(),1,1,2,0
Shell,log_verbosity(),1,2,1,3
,log_to_syslog(),3,8,2,7
,log_to_stream(),4,12,3,8
Log,Log(),1,0,0,0
LocalCommandExecutor,LocalCommandExecutor(),1,0,0,0
HitGenerator,loadFromFile(),7,19,3,23
TTSMessage,lifeTime(),1,2,1,1
libssh2_init_raii,libssh2_init_raii(),1,2,2,2
Plugin,libname(),1,1,2,0
PMTHit,length(),1,1,2,0
SimpleObservable,last_insert_time(),1,1,2,0
RunningAvgObservable,last_insert_time(),1,1,2,0
AvgObservable,last_insert_time(),1,1,2,0
TTSMessage,l2ComputationTime(),1,2,1,1
TriggerParameters,l1NSeqhit(),1,1,2,0
TriggerParameters,l1NSeqhit (),1,1,2,0
TriggerParameters,l1FrequencyRt(),1,1,2,0
TriggerParameters,l1FrequencyRt (),1,1,2,0
TriggerParameters,l1FlagRt(),1,1,2,0
TriggerParameters,l1FlagRt (),1,1,2,0
TriggerParameters,l1EventWindowHalfSize(),1,1,2,0
TriggerParameters,l1EventWindowHalfSize (),1,1,2,0
TriggerParameters,l1DeltaTimeSeqhit(),1,1,2,0
TriggerParameters,l1DeltaTimeSeqhit (),1,1,2,0
TriggerParameters,l1DeltaTimeSc(),1,1,2,0
TriggerParameters,l1DeltaTimeSc (),1,1,2,0
TriggerParameters,l1DeltaTimeRt(),1,1,2,0
TriggerParameters,l1DeltaTimeRt (),1,1,2,0
TriggerParameters,l1DeltaTimeFc(),1,1,2,0
TriggerParameters,l1DeltaTimeFc (),1,1,2,0
TTSMessage,l1ComputationTime(),1,2,1,1
TriggerParameters,l1ChargeThreshold(),1,1,2,0
TriggerParameters,l1ChargeThreshold (),1,1,2,0
Subprocess,kill(),3,4,3,2
iterator,iterator(),1,0,0,0
iterator,iterator(),1,0,0,0
iterator,iterator(),1,0,0,0
PMTHit,isSeed(),1,1,2,0
PMTHit,isSeed(),1,1,2,0
PMTHit,isOverThreshold(),1,1,2,0
PMTHit,IsOlderThan(),1,1,2,1
,isOlderThan(),1,1,1,1
Subprocess,isAlive(),7,13,5,2
,is_rw_dir(),5,14,4,7
Shell,is_connected(),1,1,1,1
Connection,ipcConnect(),1,2,2,3
Connection,ipcBind(),1,2,2,3
InternalSwParameters,InternalSwParameters(),1,0,0,0
CommandResult,internal_error(),1,1,2,0
TcpuEndpoint,instances(),1,1,2,0
TcpuEndpoint,instances(),1,1,2,0
HmEndpoint,instances(),1,1,2,0
HmEndpoint,instances(),1,1,2,0
TTSBuild,InsertNewHit(),4,13,2,5
Controller,inprocConnect(),1,1,2,1
Connection,inprocConnect(),1,2,2,3
Worker,inprocBind(),1,1,2,1
Connection,inprocBind(),1,2,2,3
InitResponse,InitResponse(),1,0,0,0
InitRequest,InitRequest(),1,0,0,0
,initialized(),1,1,1,3
,initialize_libssh2(),1,1,1,0
InitialEvent,InitialEvent(),1,0,0,0
InitEvent,InitEvent(),1,0,0,0
TriggeredEvent,Init(),1,2,1,0
StateMachine,init(),1,2,1,3
Log,init(),1,7,2,7
StateResponse,info(),1,1,2,0
StateMachine,info(),1,3,1,2
StartResponse,info(),1,1,2,0
ConfigureResponse,info(),1,1,2,0
StateMachine,Impl(),1,0,0,0
Tower,id(),1,1,2,0
TimeSlice,id(),1,1,2,0
PMT,id(),1,1,2,0
Plugin,id(),1,1,2,0
Floor,id(),1,1,2,0
Event,id(),1,1,2,0
,id(),2,4,3,4
Node,hostname(),1,1,2,0
Shell,host(),1,1,1,0
FcmEndpoint,host(),1,1,2,0
FcmEndpoint,host(),1,1,2,0
HmEndpoint,HmEndpoint(),1,0,0,0
HM,HM(),1,0,0,0
HM,HM(),1,0,0,0
HitGenerator,HitGenerator(),3,12,3,6
TTSBuild,HitBuildL1(),1,3,1,3
Hit,Hit(),1,1,2,0
Hit,Hit(),1,0,0,0
PMTHit,hasMinimumBias(),1,1,2,0
Shell,handle_connect(),3,8,2,10
TowerTimeSlice,GetTSID(),1,1,2,0
Smistatore,GetTSID(),2,5,2,1
SectorTimeSlice,GetTSID(),1,1,2,0
,getTimesliceId(),1,3,1,6
,getTimesliceId(),1,3,1,6
Scheduler,getTcpuMap(),1,1,1,0
PMTHit,getT5ns(),1,1,2,0
TowerTimeSlice,GetSTS(),1,2,1,2
STSReceiver,GetSTS(),6,19,4,11
SimpleBuffer,GetStartWrite(),1,1,2,1
SimpleBuffer,GetStartBuffer(),1,1,2,1
SimpleBuffer,GetStartBuffer(),1,1,2,1
SimpleBuffer,GetSize(),1,1,2,0
PMTHit,getSeedMap(),1,1,2,0
SectorTimeSlice,GetSectorID(),1,1,2,0
SimpleBuffer,GetRemnant(),1,1,2,1
TTSAssembler,getReadyTts(),3,15,3,13
PMTHit,getRawDataStart(),1,1,2,0
PMTHit,getRawDataStart(),1,1,2,0
PMTHit,getRawDataEnd(),1,1,2,0
PMTHit,getRawDataEnd(),1,1,2,0
TowerTimeSlice,GetNSTSin(),1,1,2,1
SectorTimeSlice,GetNPMTFull(),3,5,3,0
Scheduler,getNextTS(),3,9,2,2
SectorTimeSlice,GetNBuffers(),1,1,2,0
Rotation3D,getMatrixElement(),1,1,1,0
SimpleBuffer,GetLoad(),1,1,2,0
TTSBuild,GetL1Rate(),2,4,2,3
TTSBuild,GetL1Event(),1,4,1,2
TTSBuild,GetHitsInTriggeredEvent(),2,6,2,1
HitGenerator,getHits(),1,1,1,1
SectorTimeSlice,GetHeader(),1,1,2,0
SectorTimeSlice,GetHeader(),1,1,2,0
PMTHit,GetFrames(),2,9,2,4
TriggeredEvent,getEventSize(),1,1,2,0
TTSBuild,GetEventCollector(),1,1,2,0
,getDFHYearTime(),1,1,1,1
,getDFHYears(),1,3,1,0
,getDFHSampleSize(),2,2,1,2
,getDFHPayloadSize(),1,1,1,2
,getDFHPayloadSize(),2,2,1,0
,getDFHNSamples(),1,1,1,0
,getDFHNSamples(),1,1,1,0
,getDFHFullTime(),2,5,2,3
,getDFHFullTime(),1,1,1,1
,getDFHDayTime(),1,1,1,1
,getDFHDayTime(),1,1,1,1
,getDFHDays(),1,4,1,0
,getDFHCharge(),1,1,1,0
,getDFHCharge(),1,1,1,0
TimeOfHit,GetDeltaTime(),3,6,2,1
HitGenerator,getDeltaTime(),3,6,3,1
,getDataCardConfiguration(),2,22,2,17
,getCurrentTime(),1,2,1,3
,getCurrentTime(),1,3,1,5
PMTHit,getCaliCharge(),1,1,2,0
SectorTimeSlice,GetBuffers(),1,1,2,0
SectorTimeSlice,GetBuffer(),1,2,2,2
SectorTimeSlice,GetBuffer(),1,2,2,2
PMTHit,getAbsPMTID(),1,1,2,0
,get_tsv_parameters(),1,10,1,12
,get_trigger_parameters(),1,12,1,20
,get_tcpu_parameters(),2,10,2,10
,get_tcpu_data_endpoints(),3,8,3,11
,get_tcpu_control_endpoints(),3,8,3,11
,get_struct_parameters(),1,7,1,10
std,get_statistics(),2,4,3,3
,get_plugins_parameters(),2,10,2,10
QueueHandler,get_no_wait(),2,6,3,4
,get_monitor_parameters(),1,5,1,4
Shell,get_io_service(),1,1,2,1
